"","age_entier","max"
"1",12,6.27303379596958
"2",13,6.30417651694247
"3",14,6.3256108167945
"4",15,6.51518853326818
"5",16,6.68114247536329
"6",17,6.69400050205004
"7",18,6.6750104297038
"8",19,7.01692833961933
"9",20,6.85400959561343
"10",21,6.87580575848732
"11",22,6.85694694437302
"12",23,6.91981662485944
"13",24,6.92820646055252
"14",25,6.90488520628345
"15",26,6.94504731313482
"16",27,6.9468565474123
"17",28,7.00218818380744
"18",29,6.89655172413793
"19",30,6.8870523415978
"20",31,6.92340977931631
"21",32,6.86636340228307
"22",33,6.74024770410313
"23",34,6.8740333390617
"24",35,6.83877585912122
"25",36,6.79809653297077
"26",37,6.81721346399659
"27",38,6.82186407435832
"28",39,6.63625051845707
"29",40,6.66611115740355
"30",41,6.57624332100288
"31",44,6.19482731918848
